;ACP;IQR;count;mean;median;pol;q1;q3;std
111;PROCESSING_ACPS_TERESINA;0.0;5447.0;0.16210758215531484;0.0;POLICIES_no_policy;0.0;0.0;0.36854947288399786
112;PROCESSING_ACPS_MANAUS;0.0;5449.0;0.027160946962745458;0.0;POLICIES_buy;0.0;0.0;0.1625522375202273
113;PROCESSING_ACPS_MANAUS;1.0;5455.0;0.2923923006416132;0.0;POLICIES_rent;0.0;1.0;0.45486156483826784
114;PROCESSING_ACPS_MANAUS;1.0;5419.0;0.284369809928031;0.0;POLICIES_wage;0.0;1.0;0.4511137563071277
115;PROCESSING_ACPS_MANAUS;0.0;5394.0;0.17296996662958844;0.0;POLICIES_no_policy;0.0;0.0;0.3782213072709515
116;PROCESSING_ACPS_BRASILIA;0.0;5589.0;0.0;0.0;POLICIES_buy;0.0;0.0;0.0
117;PROCESSING_ACPS_BRASILIA;0.0;5445.0;0.0;0.0;POLICIES_rent;0.0;0.0;0.0
118;PROCESSING_ACPS_BRASILIA;0.0;5464.0;0.0;0.0;POLICIES_wage;0.0;0.0;0.0
119;PROCESSING_ACPS_BRASILIA;0.0;5400.0;0.0;0.0;POLICIES_no_policy;0.0;0.0;0.0
120;PROCESSING_ACPS_ARACAJU;0.0;5618.0;0.019045923816304735;0.0;POLICIES_buy;0.0;0.0;0.13668641703654483
121;PROCESSING_ACPS_ARACAJU;1.0;5414.0;0.27798300701884004;0.0;POLICIES_rent;0.0;1.0;0.44800497187821875
122;PROCESSING_ACPS_ARACAJU;1.0;5508.0;0.27596223674655046;0.0;POLICIES_wage;0.0;1.0;0.44699785305568446
123;PROCESSING_ACPS_ARACAJU;0.0;5569.0;0.15873585922068595;0.0;POLICIES_no_policy;0.0;0.0;0.3654295913280102
124;PROCESSING_ACPS_CAMPINA GRANDE;0.0;5459.0;0.02234841546070709;0.0;POLICIES_buy;0.0;0.0;0.14781394990697835
125;PROCESSING_ACPS_CAMPINA GRANDE;1.0;5472.0;0.2987938596491228;0.0;POLICIES_rent;0.0;1.0;0.4577292748832033
126;PROCESSING_ACPS_CAMPINA GRANDE;1.0;5386.0;0.2810991459339027;0.0;POLICIES_wage;0.0;1.0;0.44953577843051956
127;PROCESSING_ACPS_CAMPINA GRANDE;0.0;5318.0;0.16961263632944715;0.0;POLICIES_no_policy;0.0;0.0;0.37529213944182455
