month;price_index;gdp_index;gdp_growth;unemployment;average_workers;families_median_wealth;families_wealth;families_commuting;families_savings;families_helped;amount_subsidised;firms_wealth;firms_profit;gini_index;average_utility;pct_zero_consumption;rent_default;inflation;average_qli;house_vacancy;house_price;house_rent;affordable;p_delinquent;equally;locally;fpm;bank
;1.387;3826.794;0.168;0.105;58.667;1.297;19710.902;940.08;24010.909;0;0.0;394940.198;3.708;0.451;0.2471;0.0262;0.0046;0.0003;0.73;0.285;335.9955;0.4737;0.2151;0.8125;99188.8782;196824.2579;26636.1486;7.3788
;1.3869999999999998;3826.794;0.168;0.105;58.667;1.297;19710.902;940.08;24010.909;0;0.0;394940.198;3.708;0.451;0.2471;0.0262;0.0046;0.0003;0.73;0.285;335.9955;0.4737;0.2151;0.8125;99188.8782;196824.2579;26636.1486;7.3788
;1.267;1914.704;-0.15;0.0;49.464;1.298;9686.773;662.756;10374.95;0;0.0;268200.502;0.001;0.482;0.2767;0.0261;0.0065;0.0;0.863;0.278;351.5023;0.5436;0.1918;0.875;48910.2718;92490.1083;25958.9548;2.3354
;1.267;1914.704;-0.15;0.0;49.464;1.298;9686.773;662.7560000000001;10374.95;0;0.0;268200.502;0.001;0.482;0.2767;0.0261;0.0065;0.0;0.863;0.278;351.5023;0.5436;0.1918;0.875;48910.2718;92490.1083;25958.9548;2.3354
;1.326;875.55;0.492;0.0;37.873;1.011;2177.655;145.011;3694.025;0;0.0;116829.488;0.0;0.394;0.4063;0.0169;0.0032;0.0;0.786;0.297;182.8023;0.4215;0.2305;0.8571;18441.4938;32903.2101;4251.0195;0.382
;1.3259999999999998;875.55;0.492;0.0;37.873000000000005;1.011;2177.655;145.011;3694.025;0;0.0;116829.488;0.0;0.3939999999999999;0.4063;0.0169;0.0032;0.0;0.7859999999999999;0.297;182.8023;0.4215;0.2305;0.8571;18441.4938;32903.2101;4251.0195;0.382
;1.217;1812.153;-0.308;0.0;60.086;1.188;6749.905;772.501;9037.847;0;0.0;173150.772;0.0;0.434;0.3148;0.0217;0.0019;0.0;0.883;0.285;283.1733;0.4616;0.2277;0.8387;41848.964;79921.9095;21930.3615;0.5238
;1.217;1812.153;-0.308;0.0;60.086000000000006;1.188;6749.905;772.5010000000001;9037.847;0;0.0;173150.772;0.0;0.434;0.3148;0.0217;0.0019;0.0;0.883;0.285;283.1733;0.4616;0.2277;0.8387;41848.964;79921.9095;21930.3615;0.5238
;1.25;1802.483;-0.218;0.0;104.142;1.156;5387.754;481.474;10803.715;0;0.0;57609.466;0.0;0.407;0.3765;0.0145;0.0015;0.0;0.752;0.352;194.594;0.4203;0.2426;0.6327;40144.0279;73813.7407;9227.1167;1.1692
;1.25;1802.483;-0.218;0.0;104.142;1.156;5387.754;481.474;10803.715;0;0.0;57609.46599999999;0.0;0.407;0.3765;0.0145;0.0015;0.0;0.752;0.352;194.594;0.4203;0.2426;0.6327;40144.0279;73813.7407;9227.1167;1.1692
;1.391;1794.023;0.279;0.0;57.775;1.191;5532.471;523.232;8145.271;0;0.0;174086.958;0.0;0.415;0.3671;0.0124;0.0008;0.0;0.861;0.341;237.075;0.4301;0.2403;0.6829;38924.4778;74675.0912;13842.7423;3.1581
